state,average,total
Australian Capital Territory,1182.8607594936716,93446
New South Wales,31012.4,2480992
Northern Territory,88.07594936708863,6958
Queensland,13596.337500000003,1087707
South Australia,4466.860759493669,352882
Tasmania,547.2911392405064,43236
Victoria,23943.087500000005,1915447
Western Australia,7230.556962025316,571214
