city,average,total
Brisbane,11374.962500000003,909997
Bundaberg,16.379746835443033,1294
Cairns,47.97468354430379,3790
Gold Coast,447.9240506329112,35386
Hervey Bay,13.848101265822786,1094
Mackay,22.0,1738
Pimpama,33.25316455696202,2627
Rockhampton,20.569620253164555,1625
Rosedale,58.72222222222222,2114
Sunshine Coast,149.6582278481012,11823
Toowoomba,110.73417721518985,8748
Townsville,224.03797468354426,17699
